Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
145,19.7312,5.0105,0.9692,19.6803,-4.4436,0.9756,59.1984,15.0334,0.9692,117.0071,14.7435,0.9922,19.3224,0.0017,19.0
146,20.201,5.2527,0.9678,20.1514,-4.424,0.9768,60.6223,15.766,0.9678,119.7828,15.462,0.9918,19.7765,0.0017,20.0
147,20.7535,5.5373,0.9662,20.7002,-4.4007,0.9782,62.2811,16.6204,0.9662,123.0138,16.2997,0.9913,20.3049,0.0017,20.0
148,19.9534,5.1246,0.9686,19.8992,-4.4346,0.9762,59.8601,15.3737,0.9686,118.2971,15.0773,0.992,19.5335,0.0017,20.0
149,20.2649,5.2855,0.9676,20.214,-4.4214,0.977,60.8116,15.8634,0.9676,120.1515,15.5575,0.9917,19.8368,0.0017,20.0
150,19.651,4.9692,0.9695,19.6,-4.4469,0.9753,58.9558,14.9087,0.9695,116.5341,14.6211,0.9922,19.245,0.0017,19.0
151,19.988,5.1431,0.9685,19.9394,-4.4329,0.9763,59.9814,15.4362,0.9684,118.5337,15.1385,0.9919,19.5722,0.0017,20.0
152,20.0455,5.1725,0.9683,19.995,-4.4306,0.9764,60.1494,15.5226,0.9683,118.8611,15.2233,0.9919,19.6258,0.0017,20.0
153,20.8432,5.5837,0.9659,20.7904,-4.3968,0.9785,62.5541,16.7611,0.9659,123.5452,16.4376,0.9913,20.3917,0.0017,20.0
154,18.9017,4.5848,0.9718,18.8585,-4.4768,0.9731,56.7157,13.7582,0.9718,112.1631,13.4918,0.9928,18.5295,0.0017,19.0
155,21.0772,5.704,0.9653,21.0192,-4.3868,0.979,63.2458,17.1178,0.9653,124.8916,16.7871,0.9911,20.6118,0.0017,21.0
156,20.729,5.5242,0.9663,20.6712,-4.4019,0.9782,62.1935,16.5752,0.9663,122.8432,16.2554,0.9914,20.277,0.0017,20.0
157,21.6236,5.9863,0.9637,21.5651,-4.3627,0.9802,64.8968,17.97,0.9637,128.1034,17.6218,0.9907,21.1366,0.0018,21.0
